Unnamed: 0,country,description,points,price,province,taster_name,title,variety,winery
3573,Argentina,"This Bonarda could be your everyday red or house pour with no issues. Solid berry aromas are fairly woody and a bit earthy. A bouncy, fresh palate is cheerful, while flavors of plum, blackberry, cassis and spices are toasty and forward-moving on the finish.",89,15.0,Mendoza Province,Michael Schachner,Lamadrid 2016 Single Vineyard Bonarda (Agrelo),Bonarda,Lamadrid
3574,Portugal,"The perfumes of Touriga Nacional dominate this soft, smooth wine. A layer of tannins gives structure, and the ripeness of the fruit creates a delicious, full-bodied wine.",89,13.0,Dão,Roger Voss,Magnum Vinhos 2015 Ribeiro Santo Red (Dão),Portuguese Red,Magnum Vinhos
3575,France,"Produced from biodynamically grown grapes, this is a ripe smooth wine. Its green fruits and acidity are well in balance with the generous texture. The wine's crispness comes through at the end with a tight lifted aftertaste. Drink from 2018.",89,23.0,Loire Valley,Roger Voss,Domaine Philippe Gilbert 2015  Menetou-Salon,Sauvignon Blanc,Domaine Philippe Gilbert
3576,Luxembourg,"This non vintage white blend is composed of 50% Auxerrois, 40% Pinot Blanc, and 10% Pinot Gris. It has green apple and lemon pith aromas, lemon curd, apple juice and pastry flavors and a creamy finish.",89,16.0,Moselle Luxembourgeoise,Jeff Jenssen,Domaines Vinsmoselle NV Pinot Luxembourg White (Moselle Luxembourgeoise),White Blend,Domaines Vinsmoselle
3577,US,"There is a great deal of restraint exercised in this bottling from this warmer SoCal region, with tightly wound blackberry, black currant and turned loam on the nose. The flavors are also still wrapped up firmly, with more black currant, asphalt and gravel hidden behind sticky tannins. This wine is still young and should age well.",89,60.0,California,Matt Kettmann,Falkner 2014 Cabernet Sauvignon (Temecula Valley),Cabernet Sauvignon,Falkner
3578,US,"This well-made blend aged in 20% new French oak showcases red fruit, with cracker, coffee and earth suggestions. A hint of alcoholic heat comes through on the finish.",89,33.0,Oregon,Paul Gregutt,Fullerton 2015 Five Faces Pinot Noir (Willamette Valley),Pinot Noir,Fullerton
3579,Argentina,"Saucy, earthy berry aromas are full of oak and clove notes. This wine feels full but not too heavy, with solid overall balance. Blackberry, dark plum, toast and spicy oak flavors finish peppery and stout, with ripe, chewy tannins. Drink through 2022.",89,25.0,Other,Michael Schachner,Humberto Canale 2014 Gran Reserva Malbec (Patagonia),Malbec,Humberto Canale
3580,US,"At five years old, this is soft and supple, with well-integrated plum, cherry, spice and cola components. It's smooth and seamless and should be drunk soon.",89,30.0,Oregon,Paul Gregutt,Amalie Robert 2012 The Uncarved Block Pinot Noir (Willamette Valley),Pinot Noir,Amalie Robert
3581,US,"A ripe white-peach aroma meets with lime candy and buttercream on the nose of this bottling. It's a crowd-pleasing offering, with the softness of buttered nectarine and Gala apple as well as the slight tang of pear skins, lime peels and lemon pith.",89,20.0,California,Matt Kettmann,Au Jus 2015 Chardonnay (Monterey County),Chardonnay,Au Jus
3582,US,"From a biodynamically-farmed vineyard, this frames its cola and black cherry flavors with gravelly minerality The dark, earthy components come up through the finish, and the tannins have a slightly herbal edge from 10% whole-cluster fermentation.",89,55.0,Oregon,Paul Gregutt,Authentique 2014 Keeler Estate Vineyard Pinot Noir (Eola-Amity Hills),Pinot Noir,Authentique
3583,Germany,Earthy notes of pollen accent robust yellow peach and quince in this medium-sweet Kabinett. Fine brisk texture and scintillating acidity lend a lacy fragile feel to the palate. The finish lingers sweetly.,89,19.0,Mosel,Anna Lee C. Iijima,Bastgen 2015 Kestener Paulinsberg Kabinett Riesling (Mosel),Riesling,Bastgen
3584,US,"This wine is alive with herbacious notes that give it a savory quality—cut grass and green olive blend effortlessly with rosewater and baked lemon. These are all well represented on the palate, which also offers a welcome green apple flavor. Good acidity and balanced weight offer a long and lifted finish, complex with character.",89,28.0,Virginia,Carrie Dykes,Blue Valley 2015 Sauvignon Blanc (Middleburg),Sauvignon Blanc,Blue Valley
3585,Portugal,"This wood-aged white is richly endowed with yellow and crisp apple fruits. Balanced with the toast and spice, they give a ripe, opulent wine that is ready to drink.",89,26.0,Douro,Roger Voss,Caves Transmontanas 2014 Vertice Grande Reserva Branco White (Douro),Portuguese White,Caves Transmontanas
3586,Italy,"Made from 50% Nero d'Avola, 30% Cabernet Sauvignon and 20% Merlot, this offers roasted coffee bean, cassis and Mediterranean brush aromas. It's both dense and assertively tannic, with ripe black currant, mocha and vanilla flavors. Drink 2019–2025.",89,19.0,Sicily & Sardinia,Kerin O’Keefe,Ceuso 2012 Red (Terre Siciliane),Red Blend,Ceuso
3587,France,This is the entry-level wine of this estate. It shows a crisp side of Cabernet Franc while keeping all its perfumed character. The wine is structured with young tannins as well which are balanced with acidity and bright red-berry fruits. Drink from 2018.,89,29.0,Loire Valley,Roger Voss,Château de Parnay 2014 Le Clos du Château de Parnay  (Saumur-Champigny),Cabernet Franc,Château de Parnay
3588,Israel,"Dark ruby in color, this wine offers raspberry and strawberry aromas. It's bright on entry, with a network of tannins that slowly emerge amidst black cherry, black currant, juniper and tomato leaf flavors. The zippy finish is marked by a splash of clementine flavor.",89,18.0,Galilee,Mike DeSimone,Dalton 2014 Estate Shiraz (Galilee),Shiraz,Dalton
3590,France,"A good choice for those who like their rosés light and easy, this pretty wine offers subtle notes of pink peony, red cherry, hard banana and a touch of white chocolate creaminess in the mouth. Enjoy now.",86,13.0,Languedoc-Roussillon,Lauren Buzzeo,Vignobles Jeanjean 2010 Mas Fenouillet Rosé (Faugères),Rosé,Vignobles Jeanjean
3591,France,Soft wine that is now maturing. It is attractive with its red fruits and light tannins. The end is easy and fresh. Not for aging.,86,50.0,Bordeaux,Roger Voss,Château le Pape 2007  Pessac-Léognan,Bordeaux-style Red Blend,Château le Pape
3592,France,"Now reaching its maturity, this is a wine that shows tannins that have softened into spicy acidity, meaty flavors and a suggestion of wood. It is a dry wine, now ready to drink.",86,30.0,Bordeaux,Roger Voss,Château Tour Rozier 2007  Fronsac,Bordeaux-style Red Blend,Château Tour Rozier
3594,Australia,"Pale straw with a touch of green to its hue, this is a soft, easygoing Moscato redolent of oranges and pineapples. Finishes fresh and clean despite considerable sweetness.",86,13.0,Australia Other,Joe Czerwinski,De Bortoli NV Emeri Moscato Sparkling (South Eastern Australia),Sparkling Blend,De Bortoli
3595,Australia,"A pleasant, sweet little sipper, with more richness than many Australian Moscatos, balanced through a slight touch of bitterness on the finish. Orange and spice notes are joined by just a faint hint of berry fruit.",86,13.0,Australia Other,Joe Czerwinski,De Bortoli NV Emeri Pink Moscato Sparkling (South Eastern Australia),Sparkling Blend,De Bortoli
3596,US,"Pungent and spicy, with a sulfurous opening. Once the SO2 blows off, the minty, licorice flavors poke through.",86,12.0,Washington,Paul Gregutt,Domaine Ste. Michelle NV Brut Sparkling (Columbia Valley (WA)),Sparkling Blend,Domaine Ste. Michelle
3597,France,"This intensely fruity wine has richness, yellow fruit flavors and a touch of spice and citrus zest. Its soft aftertaste that makes it immediately attractive.",86,15.0,Bordeaux,Roger Voss,Domaines Barons de Rothschild (Lafite) 2010 Sélection Prestige  (Bordeaux Blanc),Bordeaux-style White Blend,Domaines Barons de Rothschild (Lafite)
3598,Australia,"Really dark, vibrant purple in color, with oak-inflected notes of cedar, vanilla and chocolate layered over black cherries. It's on the soft, slightly sweet side, but offers an easy-to-drink mouthful of sparkling Shiraz.",86,20.0,South Australia,Joe Czerwinski,Henry's Drive Vignerons NV The Scarlet Letter Sparkling Shiraz (Padthaway),Shiraz,Henry's Drive Vignerons
3600,US,"While ripe on the nose with scents of juicy red cherries, mocha chocolate and Graham cracker crumbs, this soft, light-bodied Pinot Noir gains a slightly rustic edge on the midpalate with hints of fall foliage and a soft, furry coating of tannins on the finish.",86,40.0,New York,Anna Lee C. Iijima,Jamesport 2007 Sarah's Hill Pinot Noir (North Fork of Long Island),Pinot Noir,Jamesport
3602,France,"Balanced, ready-to-drink wine with attractive, ripe red fruits and good acidity. It is fresh, the tannins giving an enjoyable firmness to an otherwise fruity wine.",86,17.0,Bordeaux,Roger Voss,La Croix de Renaud 2009  Bordeaux,Bordeaux-style Red Blend,La Croix de Renaud
3603,France,"A Syrah-dominant blend with 20% Grenache and 20% Cinsault, this wine exhibits some greenness to the skin-driven red fruit flavors. Herbal notes of rosemary and thyme sprigs add depth to the nose and mouth, while a touch of mocha graces the clean finish.",86,22.0,Languedoc-Roussillon,Lauren Buzzeo,Le Mas de Bertrand 2008 Le Cinq Montpeyroux Red (Coteaux du Languedoc),Rhône-style Red Blend,Le Mas de Bertrand
3604,US,"The new oak barrel flavors stick out aggressively, and help to create a strong impression of drying tannins. The fruit is light and chalky, with young vine flavors of generic red berries.",86,33.0,Washington,Paul Gregutt,Mercer 2008 Spice Cabinet Vineyard Malbec (Horse Heaven Hills),Malbec,Mercer
3606,Portugal,"An herbal wine, crisp and green with an attractive citrus edge. Some yellow fruits show while it is the acidity and taut mineral character that is dominant.",86,13.0,Douro,Roger Voss,Real Companhia Velha 2010 Evel Branco White (Douro),Portuguese White,Real Companhia Velha
3609,US,"The Zephyr Ridge vineyard provides the fruit for this brambly Petite Sirah. It was aged for 22 months in American oak, and has that roughshod character, a mix of wild berry, garrigue and clean earth.",86,20.0,Washington,Paul Gregutt,Thurston Wolfe 2008 Petite Sirah (Horse Heaven Hills),Petite Sirah,Thurston Wolfe
3610,Chile,"Crusty and dusty smelling, with dark berry, plum and herbal aromas. Feels edgy and rubbery, then tastes like a mix of herbal black plum, dark cherry and oak dust. Finishes fiery, with peppery flavors and leftover oak.",86,14.0,Colchagua Valley,Michael Schachner,Viu Manent 2010 Secreto Carmenère (Colchagua Valley),Carmenère,Viu Manent
3612,Portugal,"Dark, burly wine, rich with dusty tannins and plump black plum fruits. The texture is soft, Porty in its sweetness, although the acidity retains freshness. With its juicy aftertaste, the wine could age for 1–2 years.",86,20.0,Tejo,Roger Voss,Quinta do Cavalinho 2009 Templários Colheita Seleccionada Touriga Nacional (Tejo),Touriga Nacional,Quinta do Cavalinho
3613,Chile,"Opens with grassy, slightly burnt aromas that later yield to hickory smoke and herbal berry fruit. Feels fresh but prickly, with grabby acidity setting up flavors of herbs, olive, woodspice and red berries. Finishes fresh and minty.",86,12.0,Central Valley,Michael Schachner,San Pedro 2009 Castillo de Molina Reserva Cabernet Sauvignon (Central Valley),Cabernet Sauvignon,San Pedro
3614,Spain,"Scratchy and a little sharp smelling on first impression, with vanilla and milk chocolate aromas in addition to standard red fruit scents. Feels firm, solid and basic, with dark fruit flavors touched up by young, simple oak notes. Standard and dry on the finish.",86,15.0,Northern Spain,Michael Schachner,Sembro 2009 Vendimia Seleccionada  (Ribera del Duero),Tempranillo,Sembro
3615,France,"Delicate notes of wood-grilled apples, walnut skin and lightly toasted brioche take center stage on this sparkler. Balanced and creamy in the mouth, with a nice streak of ruby red grapefruit pith unfolding on the clean finish.",86,20.0,Languedoc-Roussillon,Lauren Buzzeo,Sieur d'Arques 2007 Toques et Clochers Brut Sparkling (Crémant de Limoux),Sparkling Blend,Sieur d'Arques
3617,US,"Orange blossoms and toasted brioche tempt on the nose of this elegantly oaked Chardonnay. The palate is concentrated with pristine melon and floral flavors, and just a hint of dusty minerality in the backdrop.",86,17.0,New York,Anna Lee C. Iijima,Treleaven 2009 Reserve Barrel Fermented Chardonnay (Cayuga Lake),Chardonnay,Treleaven
3619,Chile,"Smells vegetal, with aromas of canned peas and beans vying for attention with mature tropical fruit. Feels mealy despite decent acidity, while the flavor profile is from the garden, meaning it's mostly about asparagus and green beans.",82,15.0,Maipo Valley,Michael Schachner,Viña Chocalan 2010 Selección Sauvignon Blanc (Maipo Valley),Sauvignon Blanc,Viña Chocalan
3620,Chile,"Smells perky, prickly and tart, with sharp plum and raspberry aromas. Feels citrusy and pithy, with a cutting mouthfeel, and snappy flavors of berry and red plum. Tastes rubbery and slightly bitter on the finish.",82,13.0,Central Valley,Michael Schachner,François Lurton 2011 Hacienda Araucano Reserva Pinot Noir (Central Valley),Pinot Noir,François Lurton
3621,Portugal,"A perfumed wine with wood aging flavors over citrus. From the Vinho Verde region, it's a curious hybrid of a wine, neither crisp enough nor rich enough.",82,24.0,Minho,Roger Voss,Casca Wines 2009 Monte Cascas Reserva Branco White (Minho),Portuguese White,Casca Wines
3627,Chile,"This rating is probably as much a reflection of tasting the wine too late in its evolution as anything else. At this mature state, the wine is heavy and syrupy, with stalky, almost bitter red-fruit flavors. Finishes with matchstick and grassy flavors. Wait for the 2011.",82,20.0,Colchagua Valley,Michael Schachner,Montes 2010 Cherub Rosé of Syrah Rosé (Colchagua Valley),Rosé,Montes
3629,US,"This southern Oregon Syrah has red-fruit aromas, with notes of perfume and plastic.",82,22.0,Oregon,Paul Gregutt,3Fools 2009 Del Rio Red Red (Oregon),Red Blend,3Fools
3630,Chile,"A strange wine that's not very aromatic beyond basic pear fruit and grass. Feels basic and tastes both green and oddly sweet, with a short, oily feeling finish that ends bitter. Tasted twice with similar findings.",82,20.0,Leyda Valley,Michael Schachner,Amayna 2011 Sauvignon Blanc (Leyda Valley),Sauvignon Blanc,Amayna
3631,Chile,"Feels flat and syrupy feeling, with sweet, herb flavors that suggest blueberry and baked plum. Finishes herbal.",82,10.0,Central Valley,Michael Schachner,Arauco 2011 Cabernet Sauvignon (Central Valley),Cabernet Sauvignon,Arauco
3635,Chile,"Crisp but bland, with sharp edges and some bitterness on the finish.",81,14.0,Maipo Valley,Michael Schachner,Cousiño-Macul 2010 Sauvignon Gris (Maipo Valley),Sauvignon Gris,Cousiño-Macul
3637,Chile,"Flat aromas of red licorice candy, grass and maderized fruit are none too inviting. Feels chunky for rosé, with sweet, wayward fruit flavors that come with a burnt stalkiness. Finishes bitter.",81,12.0,Maule Valley,Michael Schachner,Oveja Negra 2011 Reserva Cabernet Sauvignon-Syrah Rosé (Maule Valley),Rosé,Oveja Negra
3638,US,"Dilute, with simple strawberry flavors and a disjointed finish.",81,16.0,Oregon,Paul Gregutt,Melrose 2010 Pinot Noir (Umpqua Valley),Pinot Noir,Melrose
3639,Chile,"Funky and odd smelling, with exotic aromas that are unfamiliar and not that inviting. Feels thick and soupy, with black fruit flavors, cumin, candy and some bitterness on the finish.",81,10.0,Central Valley,Michael Schachner,Arauco 2011 Carmenère (Central Valley),Carmenère,Arauco
3640,Portugal,Aromas of strawberry sherbet are followed by sweet candy-shop flavors on the palate. Chill it thoroughly before drinking. Screwcap.,80,8.0,Vinho Verde,Roger Voss,Viniverde 2011 Estreia Rosé (Vinho Verde),Rosé,Viniverde
3641,Chile,"Fluffy, sweet aromas of peach, pear and vanilla are as good as it gets. Tastes of powdered sugar and the most forced oak you can imagine. Not at all surprising that it's resiny on the finish.",80,15.0,Maule Valley,Michael Schachner,Cuevas del Sur 2010 Reserve Chardonnay (Maule Valley),Chardonnay,Cuevas del Sur
3644,France,"95-97. Barrel sample. Showing new wood spice, this rich and full-bodied wine also has weighty fruit, with creamy and herbaceous qualities.",96,170.0,Bordeaux,Roger Voss,Château Pape Clément 2011 Barrel Sample  (Pessac-Léognan),Bordeaux-style White Blend,Château Pape Clément
3646,Austria,"A finely constructed wine that is likely to age over many years. With its juicy currant flavors still dominated by minerality and citrus, there is some austerity. It is a complex wine showing great terroir character from the steep vineyard site.",93,67.0,Wachau,Roger Voss,Emmerich Knoll 2006 Ried Schütt Smaragd Riesling (Wachau),Riesling,Emmerich Knoll
3647,Austria,"This vineyard, the “way to the church,” gives a full, rounded wine with very pure, direct fruit, and a green structure. This is an impressive wine that offers minerality as well as big fruit.",93,56.0,Wachau,Roger Voss,Rudi Pichler 2006 Wösendorfer Kirchweg Smaragd Riesling (Wachau),Riesling,Rudi Pichler
3649,US,"Sagemoor's old Cab vines comprise 79% of the blend. The rest is a mix of Merlot, Cab Franc, Malbec and Petit Verdot, melded into a deep and satisfying whole. Beautifully mixed cassis, berry and cherry fruits are dotted with dried herb. There is plenty of caramel and toast in the lingering finish, and this wine combines hedonistic power with depth and character.",93,40.0,Washington,Paul Gregutt,Walla Walla Vintners 2005 Sagemoor Vineyard Cabernet Sauvignon (Columbia Valley (WA)),Cabernet Sauvignon,Walla Walla Vintners
3652,Austria,"A first from Pichler, this is a wine that stopped fermenting while still sweet and offers rich layers of honey, lychees and pepper are all here, as well yellow peaches and honeydew.",93,90.0,Wachau,Roger Voss,F X Pichler 2006 Dürnsteiner Kellerberg Reserve Grüner Veltliner (Wachau),Grüner Veltliner,F X Pichler
3654,US,"A classic Bordeaux blend. Tight and chewy, this fragrant wine adds whiffs of tobacco to its red currant and cherry fruit. It is a beautifully shaped wine, precise and balanced, compact and intriguing. It will reward decanting and should be cellared for a few years to give maximum enjoyment.",92,60.0,Washington,Paul Gregutt,Andrew Will 2005 Ciel du Cheval Vineyard Red Wine Red (Red Mountain),Red Blend,Andrew Will
3656,Austria,"Packed with superripe tropical fruits, this is a concentrated, powerful wine, with lychee and smoke flavors. There is intense acidity to counteract all the richness. Finishes sweet and ripe.",92,85.0,Wachau,Roger Voss,F X Pichler 2006 Dürnsteiner Kellerberg Smaragd Grüner Veltliner (Wachau),Grüner Veltliner,F X Pichler
3657,Argentina,"Apartado, a high-flying Bordeaux blend of Malbec, Cabernet and Merlot, shows up only occasionally, but when it does it shines. This vintage is stunning; the black cherry and wild berry flavors are lively and honest, while the wine's structure is just where it should be. With a juicy steak or lamb chops, this wine will bowl you over.",92,64.0,Mendoza Province,Michael Schachner,Felipe Rutini 2004 Apartado Red (Mendoza),Bordeaux-style Red Blend,Felipe Rutini
3659,US,"This 95% Cabernet Sauvignon perfectly captures the vineyard's strengths: lush, ripe, fleshy fruit that shows perfectly ripened flavors of cherry and cassis, bolstered by ripe, chewy tannins. It's substantial but not tiring; the balance of fruit, acid and tannins holds it together through a spicy, lingering finish. It's just a delicious wine, and one that should cellar well also.",92,40.0,Washington,Paul Gregutt,Soos Creek 2005 Champoux Vineyard Red Wine Red (Horse Heaven Hills),Red Blend,Soos Creek
3661,US,"The blend is classic Bordeaux—85% Cabernet Sauvignon, 7% Merlot, 5% Cabernet Franc and 3% Malbec. It's got grip and a sensuous mix of wild herb, black olive and mountain berry. There is plenty of acid to support it, and winemaker J-F Pellet has been pulling back on the new oak, so that newer releases of Pepper Bridge are more structured and tilting more toward a European sensibility, which is to say, ageworthy.",92,50.0,Washington,Paul Gregutt,Pepper Bridge 2004 Cabernet Sauvignon (Columbia Valley (WA)),Cabernet Sauvignon,Pepper Bridge
3664,US,"This has so much raw, rough oak flavor when first opened that the fruit is nearly invisible. Tempranillo may well have a real future in the Walla Walla Valley, but first it has to be freed from the woods. Give this plenty of breathing time.",84,24.0,Washington,Paul Gregutt,Righteous 2008 Righteous Tempranillo (Walla Walla Valley (WA)),Tempranillo,Righteous
3666,Chile,"Tomato leaf, herb and spice aromas mix with green-leaning raspberry and marshmallow sweetness on the nose. The palate is gritty and tough, with salty, herbal cherry and brambly flavors. Short and choppy on the finish.",84,14.0,Curicó Valley,Michael Schachner,Espiritu de Chile 2007 Gran Reserva Carmenère (Curicó Valley),Carmenère,Espiritu de Chile
3667,New Zealand,"Light and herbal, with a modest core of grapefruit flavors. Grassy notes soften on the finish, allowing some chalky notes to come through. Drink up.",84,10.0,Marlborough,Joe Czerwinski,Frenzy 2008 Sauvignon Blanc (Marlborough),Sauvignon Blanc,Frenzy
3671,France,"A fresh, high-acid wine, with flavors of raspberry and apple. It's crisp, with fruit that is barely ripe. Needs plenty of chilling.",84,14.0,Provence,Roger Voss,Provence Rosé 2009 Rosé (Côtes de Provence),Rosé,Provence Rosé
3673,Chile,"Opens with a mix of toast and dusty, herbal aromas, and with time it turns more saucy than precisely fruity. A bulky wine with a chunky mouthfeel and fleshy flavors of herbal plum. A late wave of tartness and more herbal flavors cements things into place.",84,10.0,Maipo Valley,Michael Schachner,Santa Ema 2008 Selected Terroir Cabernet Sauvignon (Maipo Valley),Cabernet Sauvignon,Santa Ema
3679,Australia,"This seems to be an attempt at an Italianate style, with modest alcohol levels (11%) and the accompanying lack of fruit expression. It's largely neutral, with hints of underripe pear and white pepper that combine with chalky notes on the finish.",84,9.0,Australia Other,Joe Czerwinski,Jacob's Creek 2009 Pinot Grigio (South Eastern Australia),Pinot Grigio,Jacob's Creek
3680,South Africa,"“The Affair” refers to the relationship between the French and Italian varieties in the blend. Sadly, this isn't the hottest affair, with the strong game, red currant, strawberry hull, milk chocolate and smoky dried salami notes all downplayed by the lean mouth and waxy finish.",84,28.0,Walker Bay,Lauren Buzzeo,La Vierge 2008 Temptation The Affair Red (Walker Bay),Red Blend,La Vierge
3681,Chile,"Not disappointing given the price. There's some toast and tropical fruit on the nose, and then pineapple and mango flavors. The acidity runs a bit sharp, but overall this is a reasonable, warm-climate, tropical Chard for the money.",84,9.0,Colchagua Valley,Michael Schachner,Luis Felipe Edwards 2009 Reserva Chardonnay (Colchagua Valley),Chardonnay,Luis Felipe Edwards
3682,South Africa,"Immediate aromas of chalk and peach waft up from the glass, followed by flavors of green lime and asparagus in the round mouth. The finish is a little heavy, but the flavors are nice and it should be a nice companion to summery soups and grilled vegetables.",84,11.0,Western Cape,Lauren Buzzeo,MAN Vintners 2009 Sauvignon Blanc (Western Cape),Sauvignon Blanc,MAN Vintners
3683,South Africa,"Nice herbal notes unfold in the bouquet with notes of lime rind, underripe peach and soft bell pepper coming through in the mouth. The finish is clean, like fresh-cut grass, and the overall experience enjoyable.",84,19.0,Western Cape,Lauren Buzzeo,Nederburg 2009 Manor House Sauvignon Blanc (Western Cape),Sauvignon Blanc,Nederburg
3684,South Africa,"A soft, approachable Sauvignon Blanc with aromas of yellow florals, ruby red grapefruit and yellow pepper. Riper peach flavors unfold in the mouth supported by solid acidity and a clean finish, Drink now.",84,10.0,Robertson,Lauren Buzzeo,Robertson Winery 2009 Sauvignon Blanc (Robertson),Sauvignon Blanc,Robertson Winery
3685,New Zealand,"A bit broad on the palate, this wine offers ample melon and fig flavors but lacks that vibrant zesty character that so often sets Marlborough Sauvignon apart from the pack. Drink now.",84,22.0,Marlborough,Joe Czerwinski,Seresin 2009 Momo Sauvignon Blanc (Marlborough),Sauvignon Blanc,Seresin
3686,US,"Firm and substantial on the palate, this is a complex Pinot, the red cherry fruit juicy and inviting and the wine layered in Chinese five-spice. Light in texture and weight the wine still offers a sense of place and gravitas.",91,40.0,California,Virginie Boone,Chasseur 2012 Pinot Noir (Sonoma Coast),Pinot Noir,Chasseur
3687,France,"Pale in color, this is dominated by its taut, nervy structure. Crisp red currant and red apple flavors give the fruitiness. A ripe, full-bodied mouthfeel brings out a softer, riper aftertaste.",91,90.0,Champagne,Roger Voss,Ruinart NV Brut Rosé  (Champagne),Champagne Blend,Ruinart
3688,US,"Planted in 2001 above the Laguna de Santa Rosa near Sebastopol, Baranoff Vineyard is tightly spaced to mostly Calera-clone Pinot, providing the wine's bright raspberry and cherry overtones atop a layering of earth and spice. Thickly structured, it finishes with tart cherry.",91,72.0,California,Virginie Boone,Small Vines 2012 Baranoff Vineyard Pinot Noir (Russian River Valley),Pinot Noir,Small Vines
3689,Portugal,"Kopke has an impressive quantity of old tawnies, some of which will have ended up in this wine. It certainly seems older than its 20 years with strong wood flavors, smoky toast and beautiful mature acidity. It is very ready to drink, a fine mature tawny.",91,56.0,Port,Roger Voss,Kopke NV 20-Years-Old Tawny  (Port),Port,Kopke
3690,France,"Soft and full-bodied, this offers bright apple and citrus fruits layered with toast from wood aging. Under the broad exterior, the wine is developing more tangy, zesty fruits and a tight texture. It needs to age to bring everything together. Drink from 2017.",91,35.0,Burgundy,Roger Voss,La Chablisienne 2012 Vaillons Premier Cru  (Chablis),Chardonnay,La Chablisienne
3691,France,"This is an austere wine, packed with tannins and tight acidity. The red fruits are right at the back behind the firm structure. A mineral character supports the dusty texture and suggests long-term aging. Drink from 2018.",91,65.0,Burgundy,Roger Voss,Albert Morot 2012 Cent-Vignes Premier Cru  (Beaune),Pinot Noir,Albert Morot
3692,Spain,"Oaky, heavily roasted aromas of hickory, baking spices, coconut and exotic black-fruit scents feed into a chunky but easygoing palate with spicy, barrel-rich flavors of hickory and vanilla as well as baked berry and leather. A ripe, slightly rubbery finish is generous. Drink through 2018.",91,27.0,Northern Spain,Michael Schachner,Alto Moncayo 2010 Veraton Garnacha (Campo de Borja),Garnacha,Alto Moncayo
3693,France,"Already showing some toasty maturity, this blend of Chardonnay and Pinot Noir is delicate, yeasty and rounded. Coming from northern Burgundy, it has a cool climate feel, textured with orange zest and the crispest acidity. It is ready to drink, although another few years in bottle will improve it even more.",91,26.0,Burgundy,Roger Voss,Bailly-Lapierre 2011 Egarade  (Crémant de Bourgogne),Champagne Blend,Bailly-Lapierre
3694,Italy,"Made from 80-year-old Glera vines that have never been doused with herbicides or pesticides, this boasts an enticing floral fragrance of jasmine and honeysuckle. The elegant, reserved palate has a pristine quality, delivering green apple, lemon zest, nectarine, pastry cream, herb and mineral alongside a fine perlage. It finishes crisp and clean.",91,30.0,Veneto,Kerin O’Keefe,Ca' dei Zago 2012 Dosaggio Zero  (Valdobbiadene Prosecco Superiore),Glera,Ca' dei Zago
3695,Italy,"Fragrant and floral, this blend of 55% Chardonnay, 30% Pinot Nero and 15% Pinot Bianco offers aromas of lemon blossom, white flowers and toasted almond. The palate shows an impressive depth of flavors, including yellow apple, lemon cream pie and peach alongside an elegant mousse. The creamy flavors are brightened by lively acidity.",91,75.0,Lombardy,Kerin O’Keefe,Ca' del Bosco 2009 Vintage Collection Brut Sparkling (Franciacorta),Sparkling Blend,Ca' del Bosco
3696,US,"An amazingly vivid nose of cherry, eucalyptus and morning dew on wild fennel promises a stunning wine in this clonal combo from Morgan. The flavors aren't quite so mind-blowing, though, as basic fruit-punch elements meet with touches of peppercorn and nutmeg.",91,34.0,California,Matt Kettmann,Morgan 2012 Twelve Clones Pinot Noir (Santa Lucia Highlands),Pinot Noir,Morgan
3697,Spain,"This is a full, round, woody bottling, with graphite, leather and mild herbal aromas. The palate feel is concentrated but also tannic and grating. Flavors of bold black fruits, herbs and barrel resin finish tight, with residual raw oak in abundance. Drink through 2018.",91,52.0,Northern Spain,Michael Schachner,Pittacum 2010 Aurea Mencía (Bierzo),Mencía,Pittacum
3698,France,"Blanc de Noirs, white Champagne only from red grapes, produces wines with some weight, as here. It makes for a rich, full-blooded Champagne, packed with red fruits while also cut through with intense acidity. The fruitiness gains shape from a zesty texture.",91,50.0,Champagne,Roger Voss,Tendil & Lombardi NV Blanc de Noirs Brut Pinot Noir (Champagne),Pinot Noir,Tendil & Lombardi
3699,France,"This is an elegant Champagne, with a burgeoning sense of maturity as well as fresh acidity. Flavors of ripe pear are cut with a light touch of lemon while the overall texture is soft and on the sweet side of Brut. It could age a few more years, so drink now and until 2019.",91,90.0,Champagne,Roger Voss,Veuve Doussot 2006 Memory Brut  (Champagne),Champagne Blend,Veuve Doussot
3700,Italy,"Tilled earth, blue flower, leather, blueberry and cured meat aromas jump out of the glass of this concentrated wine. The rich palate delivers black berry, licorice, chocolate, clove and black pepper alongside firm, chewy tannins. Drink 2016–2023.",91,65.0,Veneto,Kerin O’Keefe,Villa Erbice 2008 Tremenel  (Amarone della Valpolicella),Red Blend,Villa Erbice
3701,Argentina,"This Malbec-led blend is quite oaky, thus maple, molasses and chocolate aromas ride high alongside blackberry and mild floral notes. In the mouth, this is quasi-syrupy and very rich. Flavors of baked black fruits and brown sugar finish sticky, with chunky weight. Drink through 2018.",91,45.0,Mendoza Province,Michael Schachner,Clos de Chacras 2010 Gran Estirpe Red (Mendoza),Bordeaux-style Red Blend,Clos de Chacras
